Sample_ID,pH,Turbidity,Total_Hardness,Quality
1,6.99816047538945,0.9507143064099162,135.79698618491147,Safe
2,5.732334448672798,0.8661761457749352,583.4504186890969,Moderate
3,8.829770563201688,0.21233911067827616,338.6160373977308,Moderate
4,7.227780074568463,0.2912291401980419,251.49901381153043,Safe
5,7.324279936868144,1.798695128633439,75.54772699599874,Safe
6,7.9301794076057535,9.744427686266667,494.61854146405364,Unsafe
7,6.718455076693482,0.09767211400638387,322.3473005611986,Safe
8,5.637554084460874,0.9093204020787821,336.0374116477959,Unsafe
9,7.686841117373119,8.875664116805574,542.1550427352068,Unsafe
10,7.89159991524434,0.9218742350231168,228.93168191979538,Safe
11,7.0547091587579285,0.2713490317738959,348.48284573703666,Safe
12,6.063696899899051,1.2982025747190833,159.29362484379482,Moderate
13,5.52208846849441,3.8274293753904685,90.7245584537497,Unsafe
14,6.933862914177091,0.11586905952512971,84.957092657313,Safe
15,6.743929286862649,8.187787356776067,309.71820883907213,Unsafe
16,5.978376983753207,4.04314019446759,321.5875780004149,Unsafe
17,7.590931317527977,0.42754101835854963,400.02572619507924,Safe
18,6.757423924305307,0.5085706911647028,465.55312619867675,Safe
19,6.41519266196649,5.8061064362700225,494.4662087604293,Unsafe
20,8.033615026041694,5.932850294430179,346.6382330536079,Moderate
21,8.72976062065625,0.8960912999234932,284.909283744441,Moderate
22,8.772059063689973,0.8607305832563434,172.15929575890164,Safe
23,5.979461469334732,4.771638815650077,436.6604273923478,Unsafe
24,6.954518409517176,4.849789179768445,215.48307039922332,Moderate
25,6.6393619775098704,0.036886947354532795,203.2555553301363,Safe
26,9.133063543866616,7.447263801387815,183.13039933132524,Unsafe
27,8.188542189623515,0.7616196153287176,397.7682068264687,Safe
28,8.03411884304358,0.5357746840747585,152.58518071991983,Safe
29,5.663100566219056,3.7102574473691297,174.57267635886586,Unsafe
30,8.0806911616378,6.933676731502687,125.63651928029628,Moderate
31,6.864265404201034,0.11347352124058907,412.99122531879846,Safe
32,8.768888800804863,0.5552008115994623,543.4686668743298,Moderate
33,9.101672228653321,2.3561191641948027,543.4106429739174,Unsafe
34,9.04834569706047,0.7798755458576239,544.2048036898937,Moderate
35,7.92571623863836,0.009197051616629648,138.44442827962428,Safe
36,7.694935157466345,3.607845038010402,180.48699812324003,Moderate
37,6.801598792637071,3.5985315961888587,362.5697318345094,Moderate
38,5.87469907131237,6.219948216895418,266.2037485667182,Unsafe
39,9.068186220708453,4.179245214166594,320.8847316003751,Unsafe
40,6.280971951192178,2.123089449763423,147.41087367387692,Moderate
41,9.261834337411656,0.9539285770025874,560.5752094232489,Moderate
42,7.212736593269257,0.9666548190436696,261.8037507310589,Safe
43,8.904546686067427,7.784006312291751,432.81638817123513,Unsafe
44,7.78024468035746,0.09717649377076854,335.0813088000552,Safe
45,9.009492287711822,0.7407686177542044,211.47551434547134,Moderate
46,8.737444621914054,4.468289274320415,325.83396207795977,Unsafe
47,8.6931807158671,8.978963347180505,235.8973362683447,Unsafe
48,7.002331810559776,3.313120563984696,348.45454908916713,Moderate
49,6.646165008513138,5.186740943746072,248.10485277619458,Moderate
50,6.008242050607539,4.079974212394443,96.94110574657239,Moderate
51,5.706726884674431,3.162540486440426,586.718643704394,Unsafe
52,7.565201393204781,0.32295647294124596,93.15100973824627,Safe
53,5.6014029736618305,0.9626484146779251,145.31187603896518,Moderate
54,6.125748170684345,3.196906658824482,203.96364332026857,Unsafe
55,9.319461122652775,0.7378969166957685,186.2520442256366,Moderate
56,6.923890714605046,0.7578461104643691,72.40084127543358,Safe
57,8.92184233604403,2.8966953163493008,310.4094739293111,Moderate
58,6.192807479640061,2.5940189375894938,74.91720537462449,Moderate
59,6.998450458505885,3.012545034320351,139.61393489478633,Moderate
60,5.782274989601719,7.928877906367316,366.51079783173344,Unsafe
61,7.052679704826088,7.728083946579675,262.3564507904258,Unsafe
62,9.344762255295656,0.9053506419560637,60.02200410835235,Moderate
63,5.877771843023714,6.594878151468807,62.79956465470423,Unsafe
64,8.757873930355743,1.472659310486625,532.6096074398791,Moderate
65,8.440284175215544,2.128138290285226,493.7591065969952,Moderate
66,9.462020568002693,0.4126176769114265,561.9165290819606,Moderate
67,8.933651007372047,0.42899402737501835,546.4040986737616,Moderate
68,7.521009489791428,0.8264574661077416,55.960708314164094,Safe
69,9.121527905677056,9.750309835254026,365.3908384678074,Unsafe
70,8.027348848679196,2.172843086792258,463.805991190724,Moderate
71,8.666316174903393,0.7896181427945539,352.2408852780545,Moderate
72,7.266122005493508,0.8877041827582998,468.83084744460973,Safe
73,7.972872253265044,0.10112267612279024,502.0230326096959,Safe
74,8.324968908625985,0.08134878064189976,253.85318088679,Safe
75,8.75119826903001,0.9472485773838587,95.92539418426782,Safe
76,8.608587663709747,0.558404249735805,320.94380735997254,Moderate
77,5.545414579069677,0.46866064199412627,407.065666163835,Moderate
78,8.484179517061694,0.5833687650971596,527.7295205042032,Safe
79,6.39438335407781,0.9632225394406113,540.128712533939,Moderate
80,7.6108044363452,7.769271422006604,337.70381429358184,Unsafe
81,8.01759455254105,2.818164259071093,545.636905770044,Moderate
82,5.681785521365832,4.801645936306235,391.0729287908452,Unsafe
83,6.60952473192453,2.8547936197599286,92.75405033074166,Safe
84,9.397579230664666,0.9862107444796029,497.58726083882175,Moderate
85,8.238924690215518,9.112686214615845,449.145729613598,Unsafe
